Year,Province,Division,District,Admin_Type,Urban_Rural,Dominant_Sector,Population,Population_Density,Area_km2,Literacy_Rate,Male_Literacy,Female_Literacy,GDP_Per_Capita,Poverty_Rate,Unemployment_Rate,Num_Schools,Num_Hospitals,Electricity_Access,Water_Access,Road_Network_km,Annual_Rainfall_mm,Avg_Temperature_C,Crime_Rate_per100k,Health_Expenditure_PKR,Education_Expenditure_PKR,Agriculture_Share_pct,Infant_Mortality_per1000,Life_Expectancy
2015,Azad Kashmir,Azad Kashmir,Bagh,District,Urban,Manufacturing,872419,401.28,2174.1,74.48,81.54,66.2,31161.0,22.21,10.85,207,10,80.42,65.05,2053,921.9,18.4,32.39,1279.0,1458.0,11.19,34.14,66.88
2016,Azad Kashmir,Azad Kashmir,Bagh,District,Rural,Services,890940,126.92,7019.8,73.8,79.59,67.26,32195.0,27.14,8.46,208,17,72.75,68.28,5920,715.3,28.7,16.28,1423.0,1906.0,26.15,32.87,65.29
2017,Azad Kashmir,Azad Kashmir,Bagh,District,Rural,Agriculture,913736,273.65,3339.0,64.18,68.45,58.49,55573.0,25.66,8.56,249,10,67.04,71.78,3572,1077.4,27.9,26.84,2556.0,2512.0,23.02,36.95,61.43
2018,Azad Kashmir,Azad Kashmir,Bagh,District,Urban,Services,929458,540.41,1719.9,70.05,74.5,57.04,52622.0,27.36,15.11,303,11,73.57,73.22,2047,571.4,26.9,25.13,2063.0,2751.0,30.8,38.58,64.98
2019,Azad Kashmir,Azad Kashmir,Bagh,District,Urban,Construction,970961,153.63,6320.0,70.6,75.74,52.45,54500.0,23.53,8.74,361,23,68.27,65.36,6928,711.0,31.2,36.58,2141.0,1946.0,39.49,37.57,64.06
2020,Azad Kashmir,Azad Kashmir,Bagh,District,Urban,Manufacturing,932876,205.37,4542.3,72.85,82.41,60.45,52686.0,25.13,7.18,219,14,74.32,69.16,3927,1497.3,19.9,29.59,2306.0,2470.0,48.75,50.18,69.24
2021,Azad Kashmir,Azad Kashmir,Bagh,District,Semi-Urban,Agriculture,934862,117.28,7970.9,78.09,82.76,65.04,41077.0,21.64,8.96,260,9,83.19,66.61,4496,1220.7,27.5,16.35,1016.0,1238.0,38.84,25.75,66.99
2022,Azad Kashmir,Azad Kashmir,Bagh,District,Rural,Healthcare,1058843,135.94,7789.2,68.07,73.81,60.08,54949.0,22.44,7.93,247,15,62.86,70.36,8803,1341.7,25.1,23.85,2613.0,2965.0,17.27,42.07,67.2
2023,Azad Kashmir,Azad Kashmir,Bagh,District,Urban,Mining,1040072,322.77,3222.4,71.0,81.16,55.03,33190.0,23.26,10.56,209,11,67.5,65.17,3187,1067.4,19.1,29.4,792.0,1627.0,54.01,35.0,65.93
2024,Azad Kashmir,Azad Kashmir,Bagh,District,Rural,Mining,1077585,153.0,7043.2,81.5,90.0,61.57,40262.0,15.66,10.52,329,20,81.44,83.87,4974,701.2,22.4,19.77,1105.0,1311.0,29.71,25.91,69.3
2015,Azad Kashmir,Azad Kashmir,Bhimber,District,Urban,Education,246297,444.63,553.9,73.81,80.66,64.63,40689.0,29.25,9.55,59,5,67.44,63.36,632,830.4,25.2,32.99,1511.0,1990.0,34.27,22.62,68.79
2016,Azad Kashmir,Azad Kashmir,Bhimber,District,Rural,Services,253591,131.53,1928.1,65.31,68.29,45.54,48768.0,31.52,12.28,110,3,65.13,64.85,1967,1229.1,27.4,24.03,1135.0,1837.0,28.12,38.14,61.6
2017,Azad Kashmir,Azad Kashmir,Bhimber,District,Semi-Urban,Agriculture,257962,137.49,1876.2,68.76,76.16,53.98,28710.0,23.61,11.96,76,2,63.01,74.6,2127,1356.0,19.4,25.13,1305.0,1052.0,10.66,36.1,66.65
2018,Azad Kashmir,Azad Kashmir,Bhimber,District,Rural,Mining,263021,74.98,3507.8,80.06,91.63,68.71,32015.0,20.67,8.38,120,4,86.83,73.35,3141,1284.1,24.4,23.36,1108.0,1204.0,54.79,30.68,68.28
2019,Azad Kashmir,Azad Kashmir,Bhimber,District,Urban,Agriculture,261866,43.51,6018.0,75.08,82.16,69.23,27663.0,23.5,9.5,119,4,68.32,73.35,5028,1419.4,25.4,18.09,1114.0,1090.0,48.31,27.87,66.68
2020,Azad Kashmir,Azad Kashmir,Bhimber,District,Semi-Urban,Construction,262724,111.96,2346.6,76.26,85.43,68.2,57807.0,21.2,9.8,69,3,74.93,76.5,980,1022.8,31.1,3.32,2276.0,2791.0,20.74,29.53,70.69
2021,Azad Kashmir,Azad Kashmir,Bhimber,District,Urban,Services,299660,525.84,569.9,64.81,67.49,54.57,61191.0,27.49,10.64,77,4,59.83,65.84,251,1005.9,19.9,43.78,2754.0,3558.0,20.99,40.15,65.04
2022,Azad Kashmir,Azad Kashmir,Bhimber,District,Rural,Services,293353,54.28,5404.8,76.5,79.57,69.77,64952.0,21.72,10.88,144,3,73.34,78.29,2992,1438.9,19.9,10.2,1709.0,2839.0,34.9,30.22,69.5
2023,Azad Kashmir,Azad Kashmir,Bhimber,District,Urban,Manufacturing,305250,71.14,4290.6,82.21,85.52,72.21,61728.0,13.29,9.95,110,3,74.75,82.57,4149,1329.3,18.6,34.64,2256.0,2908.0,54.09,25.72,68.53
2024,Azad Kashmir,Azad Kashmir,Bhimber,District,Urban,Healthcare,269952,37.9,7123.3,84.13,95.12,74.51,32733.0,21.43,8.6,57,3,88.24,83.16,2392,648.1,19.8,13.42,1006.0,1875.0,45.83,32.77,67.79
2015,Azad Kashmir,Azad Kashmir,Kotli,District,Semi-Urban,Services,900270,127.51,7060.3,67.4,73.53,59.75,39820.0,32.5,8.69,182,10,74.55,62.03,7089,662.5,29.2,20.46,1288.0,2262.0,18.07,43.63,62.76
2016,Azad Kashmir,Azad Kashmir,Kotli,District,Urban,Manufacturing,925816,546.53,1694.0,79.22,89.42,68.97,31255.0,30.55,8.43,225,14,71.88,76.75,544,699.6,30.9,16.67,806.0,1348.0,49.21,25.27,71.15
2017,Azad Kashmir,Azad Kashmir,Kotli,District,Urban,Services,958082,369.43,2593.4,75.41,79.2,55.85,55372.0,23.48,9.96,244,14,82.59,74.82,867,1439.2,19.6,22.61,2098.0,2427.0,53.31,31.35,68.09
2018,Azad Kashmir,Azad Kashmir,Kotli,District,Urban,Education,982777,124.69,7881.8,74.33,83.2,57.23,39411.0,26.22,9.92,418,10,69.75,64.07,7121,936.1,25.3,10.53,1219.0,1293.0,52.31,40.65,69.95
2019,Azad Kashmir,Azad Kashmir,Kotli,District,Rural,Construction,999972,350.33,2854.4,68.73,72.0,59.29,36960.0,28.79,12.44,220,12,66.36,64.6,2596,908.4,23.6,15.94,1740.0,2019.0,28.92,43.58,66.44
2020,Azad Kashmir,Azad Kashmir,Kotli,District,Rural,Healthcare,981963,1952.04,503.0,69.66,76.39,61.46,45742.0,25.75,7.29,343,14,71.4,72.31,484,965.0,24.2,15.96,1819.0,1891.0,50.55,42.6,65.42
2021,Azad Kashmir,Azad Kashmir,Kotli,District,Urban,Construction,1053831,877.9,1200.4,74.47,82.58,54.71,49703.0,28.58,9.02,217,19,71.67,79.43,807,647.4,18.6,41.98,1933.0,1878.0,44.58,38.45,65.63
